parallax, Position: x: 47.3131, y: 7.3, Rotation: 0 deg, Scale: x: 16, y: 10.9
parallax, Position: x: 77.9835, y: 7.3, Rotation: 0 deg, Scale: x: 16, y: 10.9
parallax, Position: x: 60.6538, y: 7.3, Rotation: 0 deg, Scale: x: 16, y: 10.9
parallax, Position: x: 34.6593, y: 7.3, Rotation: 0 deg, Scale: x: 16, y: 10.9
parallax, Position: x: 25.9945, y: 7.3, Rotation: 0 deg, Scale: x: 16, y: 10.9
parallax, Position: x: 61.8637, y: 7.3, Rotation: 0 deg, Scale: x: 16, y: 10.9
parallax, Position: x: 56.6648, y: 7.3, Rotation: 0 deg, Scale: x: 16, y: 10.9
parallax, Position: x: 48, y: 7.3, Rotation: 0 deg, Scale: x: 16, y: 10.9
Ground, Position: x: 143.5, y: 2, Rotation: 0 deg, Scale: x: 287, y: 4, Collider Width: 1, Collider Height: 1, Collider Position: x: 0, y: 0, Collider Rotation: 0 deg, Collider Scale: x: 1, y: 1
Ground, Position: x: 17.5, y: 12.5, Rotation: 0 deg, Scale: x: 35, y: 17, Collider Width: 1, Collider Height: 1, Collider Position: x: 0, y: 0, Collider Rotation: 0 deg, Collider Scale: x: 1, y: 1
Ground, Position: x: 288.5, y: 4.5, Rotation: 0 deg, Scale: x: 1, y: 1, Collider Width: 1, Collider Height: 1, Collider Position: x: 0, y: 0, Collider Rotation: 0 deg, Collider Scale: x: 1, y: 1
Player, Position: x: 52.1044, y: 6, Rotation: 0 deg, Scale: x: -4, y: 4, Collider Width: 0.5, Collider Height: 0.5, Collider Position: x: 0, y: -1, Collider Rotation: 0 deg, Collider Scale: x: 1, y: 1
EnemyNormal, Position: x: 86, y: 6, Rotation: 0 deg, Scale: x: -4, y: 4, Collider Width: 0.5, Collider Height: 0.5, Collider Position: x: 0, y: -1, Collider Rotation: 0 deg, Collider Scale: x: 1, y: 1
EnemyNormal, Position: x: 113, y: 6, Rotation: 0 deg, Scale: x: -4, y: 4, Collider Width: 0.5, Collider Height: 0.5, Collider Position: x: 0, y: -1, Collider Rotation: 0 deg, Collider Scale: x: 1, y: 1
EnemyNormal, Position: x: 156, y: 6, Rotation: 0 deg, Scale: x: -4, y: 4, Collider Width: 0.5, Collider Height: 0.5, Collider Position: x: 0, y: -1, Collider Rotation: 0 deg, Collider Scale: x: 1, y: 1
EnemyNormal, Position: x: 187, y: 6, Rotation: 0 deg, Scale: x: -4, y: 4, Collider Width: 0.5, Collider Height: 0.5, Collider Position: x: 0, y: -1, Collider Rotation: 0 deg, Collider Scale: x: 1, y: 1
Ground, Position: x: 296.5, y: 5.5, Rotation: 0 deg, Scale: x: 1, y: 1, Collider Width: 1, Collider Height: 1, Collider Position: x: 0, y: 0, Collider Rotation: 0 deg, Collider Scale: x: 1, y: 1
Ground, Position: x: 294.5, y: 6.5, Rotation: 0 deg, Scale: x: 1, y: 1, Collider Width: 1, Collider Height: 1, Collider Position: x: 0, y: 0, Collider Rotation: 0 deg, Collider Scale: x: 1, y: 1
Ground, Position: x: 217.5, y: 7.5, Rotation: 0 deg, Scale: x: 7, y: 1, Collider Width: 1, Collider Height: 1, Collider Position: x: 0, y: 0, Collider Rotation: 0 deg, Collider Scale: x: 1, y: 1
