ColliderObject,ColliderObject,0,-27.35,0,1,1,200,50,0,0,0,1,1
LightSource,LightSource,-2.8,1,0,1,1,1,10
ColliderObject,ColliderObject,-8.2,0,0,1,1,1,10,0,0,0,1,1
Zealot,Zealot,35,-1.32875,0,-1.828,2.05,0.5,0.85,0,-0.15,0,1,1
Zealot,Zealot,36,-1.32875,0,-1.828,2.05,0.5,0.85,0,-0.15,0,1,1
BlightFlame,BlightFlame,37.2,-1.45,0,-3.304,1.8,0.064,1,0,0,0,0.4,1
BlightFlame,BlightFlame,48,-1.45,0,-3.304,1.8,0.16,1,0,0,0,0.4,1
BlightFlame,BlightFlame,50,-1.45,0,-3.304,1.8,0.16,1,0,0,0,0.4,1
Wailer,Wailer,49.9976,-1.095,0,-2.04,2.6,0.5,0.85,0,-0.15,0,1,1
ColliderObject,Object,40.8,0,0,1,10,1,1,0,0,0,1,1
ColliderObject,ColliderObject,69,0,0,1,1,1,10,0,0,0,1,1
